week,서울의 봄,범죄도시3,엘리멘탈,밀수,더 퍼스트 슬램덩크,가디언즈 오브 갤럭시: Volume 3,미션 임파서블: 데드 레코닝 PART ONE,콘크리트 유토피아,노량: 죽음의 바다,오펜하이머,슈퍼 마리오 브라더스,30일,존 윅 4,천박사 퇴마 연구소: 설경의 비밀,분노의 질주: 라이드 오어 다이,교섭,앤트맨과 와스프: 퀀텀매니아,잠,달짝지근해: 7510,드림,비공식작전,1947 보스톤,스파이더맨: 어크로스 더 유니버스,인디아나 존스: 운명의 다이얼,장화신은 고양이: 끝내주는 모험,명탐정코난: 흑철의 어영,트랜스포머: 비스트의 서막,대외비,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,아쿠아맨과 로스트 킹덤,프레디의 피자가게,리바운드,더 마블스,귀공자,유령,인어공주,플래시,바비,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",더 문,3일의 휴가,소년들,타겟,서치 2,인시디어스: 빨간 문,싱글 인 서울,스위치,카운트,상견니,더 넌 2,트롤: 밴드 투게더,뽀로로 극장판 슈퍼스타 대모험,웅남이,거미집,던전 앤 드래곤: 도적들의 명예,용감한 시민,화란,크리에이터,옥수역귀신,아임 히어로 더 파이널,소울메이트,메간,나폴레옹,바빌론,베니스 유령 살인사건,멍뭉이,킬링 로맨스,헝거게임: 노래하는 새와 뱀의 발라드,퍼피 구조대: 더 마이티 무비,가문의 영광: 리턴즈,플라워 킬링 문,마루이 비디오,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,극장판 슈퍼윙스: 맥시멈 스피드,보호자,두다다쿵: 후후섬의 비밀,메가로돈 2,그란 투리스모,에브리씽 에브리웨어 올 앳 원스+,캐리와 슈퍼콜라,에어,뉴 노멀,극장판 도라에몽: 진구와 하늘의 유토피아,화사한 그녀,방탄소년단: 옛 투 컴 인 시네마,아이유 콘서트 : 더 골든 아워,말하고 싶은 비밀,악마들,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,파벨만스,엑소시스트: 믿는 자,샤잠! 신들의 분노,닌자터틀: 뮤턴트 대소동,쏘우 X,익스펜더블 4,바람 따라 만나리 : 김호중의 계절,라일 라일 크로커다일,렌필드,스파이 코드명 포춘
개봉일,2023-11-22,2023-05-31,2023-06-14,2023-07-26,2023-01-04,2023-05-03,2023-07-12,2023-08-09,2023-12-20,2023-08-15,2023-04-26,2023-10-03,2023-04-12,2023-09-27,2023-05-17,2023-01-18,2023-02-15,2023-09-06,2023-08-15,2023-04-26,2023-08-02,2023-09-27,2023-06-21,2023-06-28,2023-01-04,2023-07-20,2023-06-06,2023-03-01,2023-05-04,2023-12-20,2023-11-15,2023-04-05,2023-11-08,2023-06-21,2023-01-18,2023-05-24,2023-06-14,2023-07-19,2023-12-22,2023-03-02,2023-08-02,2023-12-06,2023-11-01,2023-08-30,2023-02-22,2023-07-19,2023-11-29,2023-01-04,2023-02-22,2023-01-25,2023-09-27,2023-12-20,2023-12-13,2023-03-22,2023-09-27,2023-03-29,2023-10-25,2023-10-11,2023-10-03,2023-04-19,2023-03-01,2023-03-15,2023-01-25,2023-12-06,2023-02-01,2023-09-13,2023-03-01,2023-04-14,2023-11-15,2023-10-06,2023-09-21,2023-10-19,2023-02-22,2023-09-28,2023-07-20,2023-08-15,2023-02-15,2023-08-15,2023-09-20,2023-03-01,2023-01-18,2023-04-05,2023-11-08,2023-07-08,2023-10-11,2023-02-01,2023-09-13,2023-12-13,2023-07-05,2023-06-23,2023-03-22,2023-10-18,2023-03-15,2023-09-14,2023-12-13,2023-10-18,2023-10-18,2023-01-18,2023-04-19,2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,0,"1,539,244,606",0,0,0,0,0,0,0,0,0,0,0,"44,918,955",0,0,0,0,0,0,0,"1,711,399",0,0,"376,286,451",0,0,0,0,0,0,"695,000",0,0,0,0,"525,005,200",0,0,0,0,"112,469,911",0,0,0,"58,076,364","17,061,100",0,0,0,0,0,0,0,0,0,0,"603,034,500","1,158,928,177",0,0,"14,042,889",0,"109,575,439",0,0,0,0,0,"23,308,000",0,0,0,"18,941,438",0,0,"315,655,724",0,0,0,0,0,0,0,0,0,0,0,0,"710,906,386",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,0,"1,282,244,058",0,0,0,0,0,0,0,0,0,0,0,"4,814,487",0,0,0,0,0,0,0,"1,179,193",0,0,"53,088,053",0,0,0,0,0,0,0,0,0,0,0,"279,966,600",0,0,0,0,"23,779,047",0,0,0,"7,195,797","8,207,300",0,0,0,"1,797,619,895",0,0,0,0,0,0,"385,130,500","594,064,617",0,0,"6,649,013",0,"83,261,302",0,0,0,0,0,"2,985,500",0,0,0,"7,064,999",0,0,"247,283,596",0,0,0,0,0,0,0,0,0,0,"387,534,173",0,"92,531,802",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,"1,035,591,838",0,0,0,0,0,0,0,0,0,0,0,"4,506,400",0,0,0,0,0,0,0,"979,000",0,0,"7,493,282",0,0,0,0,0,0,0,0,0,0,0,"90,413,600",0,0,0,0,"3,012,926",0,0,0,"13,202,000","12,884,800",0,0,0,"717,118,781",0,"1,988,076,661",0,0,0,0,"243,009,000","289,238,699",0,0,"3,285,495",0,"70,616,088",0,0,0,0,0,"878,500",0,0,0,"2,572,919",0,0,"94,142,698",0,0,0,0,0,0,0,0,0,0,"181,571,204",0,"5,924,587",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,0,"1,016,989,000",0,0,0,0,0,0,0,0,0,0,0,"269,500",0,0,0,0,0,0,0,"1,081,698",0,0,"8,525,100",0,0,0,"3,013,715,513",0,0,0,0,0,0,0,"681,500",0,0,0,0,"7,954,600",0,0,0,"10,694,000","12,730,400",0,0,0,"221,075,971",0,"737,141,460",0,0,0,0,"66,216,000","74,656,898",0,0,"1,768,800",0,"52,732,500",0,0,0,0,0,0,0,0,0,"1,337,200",0,0,"41,199,793",0,"821,046,079",0,0,0,0,0,0,0,0,"92,314,967",0,"946,499",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,0,"619,840,319",0,0,0,0,0,0,0,"8,284,658,376",0,0,0,0,0,0,0,0,0,0,0,"1,149,599",0,0,"9,583,728",0,0,0,"1,691,999,707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,280,000",0,0,0,0,"74,571,224",0,"167,120,752",0,0,0,0,"56,356,000","6,772,954",0,0,"880,500",0,"39,250,500","929,149,624",0,0,0,0,0,0,0,0,"12,861,699",0,0,"13,826,021",0,"166,274,287",0,0,0,0,0,0,0,0,"47,943,945",0,"302,000",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,0,"414,820,394",0,0,0,0,0,0,0,"4,950,605,354",0,0,0,0,0,0,0,0,0,0,0,"44,000",0,0,"1,088,200",0,0,0,"1,071,680,762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,806,000",0,0,0,0,"18,458,200",0,"11,979,868",0,0,0,"957,247,600","14,248,000","2,687,124",0,0,"705,000",0,"28,378,800","552,247,720",0,0,0,0,0,0,0,0,"756,399",0,0,"7,061,280",0,"36,923,598",0,0,0,0,0,0,0,0,"18,877,928",0,0,0,0,0,0,0,"384,244,498",0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,0,"591,217,186",0,0,0,0,0,"9,568,776,468",0,"3,750,984,425",0,0,0,0,0,0,"6,440,838,070",0,0,0,0,0,0,0,0,0,0,0,"530,206,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000,000",0,0,0,0,"3,667,900",0,"1,463,396",0,0,0,"839,789,500","63,409,500","466,555",0,0,0,0,"6,695,000","208,779,099",0,0,0,0,0,0,0,0,"439,000",0,0,"3,831,398",0,"6,064,518",0,0,0,0,0,0,0,0,"14,619,958",0,0,0,0,0,0,0,"36,385,951",0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,0,"301,380,564","19,493,005,423",0,0,0,0,"8,222,164,019",0,"1,602,575,454",0,0,0,0,0,0,"3,006,281,955",0,0,0,0,0,0,0,0,"3,694,122,572",0,0,"137,308,313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"331,100",0,"163,000",0,0,0,"644,449,600",0,"1,246,056",0,0,0,0,0,"69,819,162",0,0,0,0,0,0,0,0,0,0,0,"3,315,425",0,"6,512,000",0,0,0,0,0,0,0,0,"7,946,900",0,0,0,0,0,0,0,"16,899,500",0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,"266,799,768","11,079,220,425",0,0,0,0,"2,480,824,911",0,"654,283,576",0,0,0,0,0,0,"992,156,403",0,0,0,0,0,0,0,0,"1,498,139,372",0,0,"48,992,597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,114,000",0,"3,717,000",0,0,0,"204,786,700",0,0,0,0,0,0,0,"27,998,260",0,0,0,0,0,0,0,0,0,0,0,"2,425,454",0,0,0,0,0,0,0,0,0,0,"5,926,500",0,0,0,0,0,0,0,"2,472,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,0,"223,324,647","5,676,643,268",0,0,0,0,"1,144,520,615",0,"171,467,312",0,"9,458,210,644",0,0,0,0,"202,967,452",0,0,0,0,0,0,0,0,"849,293,389",0,0,"9,761,805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66,971,700",0,0,0,0,0,0,0,"6,926,450",0,0,0,0,0,0,0,0,0,0,0,"1,721,599",0,0,0,0,0,0,0,0,0,0,"2,833,000",0,0,0,0,0,0,0,"665,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
