week,서울의 봄,범죄도시3,엘리멘탈,밀수,더 퍼스트 슬램덩크,가디언즈 오브 갤럭시: Volume 3,미션 임파서블: 데드 레코닝 PART ONE,콘크리트 유토피아,노량: 죽음의 바다,오펜하이머,슈퍼 마리오 브라더스,30일,존 윅 4,천박사 퇴마 연구소: 설경의 비밀,분노의 질주: 라이드 오어 다이,교섭,앤트맨과 와스프: 퀀텀매니아,잠,달짝지근해: 7510,드림,비공식작전,1947 보스톤,스파이더맨: 어크로스 더 유니버스,인디아나 존스: 운명의 다이얼,장화신은 고양이: 끝내주는 모험,명탐정코난: 흑철의 어영,트랜스포머: 비스트의 서막,대외비,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,아쿠아맨과 로스트 킹덤,프레디의 피자가게,리바운드,더 마블스,귀공자,유령,인어공주,플래시,바비,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",더 문,3일의 휴가,소년들,타겟,서치 2,인시디어스: 빨간 문,싱글 인 서울,스위치,카운트,상견니,더 넌 2,트롤: 밴드 투게더,뽀로로 극장판 슈퍼스타 대모험,웅남이,거미집,던전 앤 드래곤: 도적들의 명예,용감한 시민,화란,크리에이터,옥수역귀신,아임 히어로 더 파이널,소울메이트,메간,나폴레옹,바빌론,베니스 유령 살인사건,멍뭉이,킬링 로맨스,헝거게임: 노래하는 새와 뱀의 발라드,퍼피 구조대: 더 마이티 무비,가문의 영광: 리턴즈,플라워 킬링 문,마루이 비디오,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,극장판 슈퍼윙스: 맥시멈 스피드,보호자,두다다쿵: 후후섬의 비밀,메가로돈 2,그란 투리스모,에브리씽 에브리웨어 올 앳 원스+,캐리와 슈퍼콜라,에어,뉴 노멀,극장판 도라에몽: 진구와 하늘의 유토피아,화사한 그녀,방탄소년단: 옛 투 컴 인 시네마,아이유 콘서트 : 더 골든 아워,말하고 싶은 비밀,악마들,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,파벨만스,엑소시스트: 믿는 자,샤잠! 신들의 분노,닌자터틀: 뮤턴트 대소동,쏘우 X,익스펜더블 4,바람 따라 만나리 : 김호중의 계절,라일 라일 크로커다일,렌필드,스파이 코드명 포춘
개봉일,2023-11-22,2023-05-31,2023-06-14,2023-07-26,2023-01-04,2023-05-03,2023-07-12,2023-08-09,2023-12-20,2023-08-15,2023-04-26,2023-10-03,2023-04-12,2023-09-27,2023-05-17,2023-01-18,2023-02-15,2023-09-06,2023-08-15,2023-04-26,2023-08-02,2023-09-27,2023-06-21,2023-06-28,2023-01-04,2023-07-20,2023-06-06,2023-03-01,2023-05-04,2023-12-20,2023-11-15,2023-04-05,2023-11-08,2023-06-21,2023-01-18,2023-05-24,2023-06-14,2023-07-19,2023-12-22,2023-03-02,2023-08-02,2023-12-06,2023-11-01,2023-08-30,2023-02-22,2023-07-19,2023-11-29,2023-01-04,2023-02-22,2023-01-25,2023-09-27,2023-12-20,2023-12-13,2023-03-22,2023-09-27,2023-03-29,2023-10-25,2023-10-11,2023-10-03,2023-04-19,2023-03-01,2023-03-15,2023-01-25,2023-12-06,2023-02-01,2023-09-13,2023-03-01,2023-04-14,2023-11-15,2023-10-06,2023-09-21,2023-10-19,2023-02-22,2023-09-28,2023-07-20,2023-08-15,2023-02-15,2023-08-15,2023-09-20,2023-03-01,2023-01-18,2023-04-05,2023-11-08,2023-07-08,2023-10-11,2023-02-01,2023-09-13,2023-12-13,2023-07-05,2023-06-23,2023-03-22,2023-10-18,2023-03-15,2023-09-14,2023-12-13,2023-10-18,2023-10-18,2023-01-18,2023-04-19,2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,0,"90,604,426","5,126,282,340",0,0,0,0,"1,236,282,434",0,"68,091,588",0,"8,109,418,981",0,0,0,0,"63,588,537",0,0,0,0,0,0,0,0,"751,839,616",0,0,"6,400,451",0,0,0,"4,947,838,295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,712,000",0,0,0,0,0,0,0,"1,209,827",0,0,0,0,0,0,0,0,0,0,0,"1,991,000",0,0,0,0,0,0,0,0,0,0,"3,312,500",0,0,0,0,0,0,0,"665,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,"54,586,303,606",0,0,"6,206,376","1,835,753,024",0,0,0,0,"458,798,055",0,"5,633,453",0,"4,938,043,951",0,0,0,0,"13,528,655",0,0,0,0,0,0,0,0,"302,345,271",0,0,"3,304,821",0,0,0,"1,239,275,357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"375,000",0,0,0,0,0,0,0,"412,500",0,0,0,0,0,0,0,0,0,0,0,"1,723,000",0,0,0,0,0,0,0,0,0,0,"491,000",0,0,0,0,0,0,0,"190,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,"19,923,686,603",0,0,0,"692,747,044",0,0,0,0,"125,769,441",0,"4,568,335",0,"3,559,918,201",0,0,0,0,"3,584,000",0,0,0,0,0,0,"6,032,429,780",0,"88,577,299",0,0,"2,266,000",0,0,0,"330,969,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,412,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,"10,312,491,746","6,153,046,718",0,0,"288,417,901",0,0,0,0,"26,528,322",0,"1,652,139",0,"3,080,963,273",0,0,0,0,"8,178,428",0,0,0,0,0,0,"1,315,149,189",0,"23,115,907",0,0,"6,582,599",0,0,0,"96,918,997","4,992,454,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,228,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,"7,040,881,970","7,521,716,561",0,0,"101,296,830",0,0,0,0,"9,440,367",0,"1,069,988",0,"1,143,437,804",0,0,0,0,"8,601,798",0,0,"4,390,739,555",0,0,0,"311,999,585",0,"12,087,207",0,0,"4,464,000",0,"3,860,026,817",0,"21,728,563","1,307,033,499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,106,700",0,0,0,0,0,0,0,0,0,"556,277,900",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,"4,405,242,803","10,134,508,492",0,0,"29,628,241",0,0,0,0,"6,165,599",0,"537,597",0,"761,645,980",0,0,0,0,"4,510,799",0,0,"2,341,398,315","5,877,773,110",0,0,"76,289,729",0,"2,405,600",0,0,0,0,"1,859,891,950",0,"9,706,462","257,259,942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"231,921,400",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,"2,392,545,952","11,326,049,213",0,0,"9,068,926",0,0,0,0,"2,347,381",0,"327,600",0,"559,319,574",0,0,0,0,"6,732,500",0,0,"1,863,122,868","2,260,336,106",0,0,"20,400,550",0,"974,500",0,0,0,0,"707,070,100",0,"752,756","50,016,272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"379,746,400",0,0,0,0,"762,538,140","56,753,000",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,"691,311,748","8,472,558,939",0,0,"1,903,189","18,724,454,655",0,0,0,"1,542,000",0,"491,427",0,"248,280,121",0,0,0,0,"1,064,000",0,0,"489,915,831","300,686,940",0,0,"3,081,955",0,0,0,0,0,0,"70,604,572",0,0,"1,385,509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"223,544,600",0,0,0,0,"32,641,133","4,642,400",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,"188,225,888","7,384,464,159",0,0,"571,450","11,024,564,426",0,0,0,"1,289,200",0,0,0,"127,635,283",0,0,0,0,0,0,0,"210,415,877","39,228,979",0,"4,219,820,389","457,528",0,0,0,0,0,0,"11,400,554",0,0,0,"2,957,338,048",0,0,0,0,0,0,0,"2,897,498,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"563,346,954",0,0,0,0,0,0,0,0,"98,482,900",0,0,0,0,"2,236,100",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,"27,573,336","6,798,443,430","21,005,641,021",0,0,"5,294,034,548",0,0,0,"260,000",0,0,0,"110,005,084",0,0,0,0,0,0,0,"82,615,658","4,684,312",0,"1,739,584,353",0,0,0,0,0,0,0,"1,970,483",0,0,0,"1,568,187,528",0,0,0,0,0,0,0,"940,448,661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"432,112,825",0,0,0,0,0,0,0,0,"93,994,900",0,0,0,0,"678,900",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,"8,047,901","5,025,636,238","15,088,425,770",0,0,"2,255,851,438",0,0,0,0,0,0,0,"21,353,994",0,0,0,0,0,"7,412,531,888",0,"31,967,919","1,170,552",0,"631,064,694",0,0,0,0,0,0,0,0,0,0,0,"664,198,543",0,0,"3,892,943,034",0,0,0,0,"209,225,621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"117,770,085",0,0,0,0,0,0,0,0,"43,224,100",0,0,0,0,"108,000",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,"1,915,667","3,620,164,343","7,599,510,542",0,0,"1,011,279,219","20,647,851,375",0,0,0,0,0,0,"12,367,998",0,0,0,0,0,"2,018,309,862",0,"11,473,477","741,067",0,"459,604,868",0,0,0,0,0,0,0,0,0,0,0,"333,892,184",0,0,"815,914,846",0,0,0,0,"43,262,617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,562,930",0,0,0,0,0,0,0,0,"32,193,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,"785,378","1,601,226,555","2,457,235,785",0,0,"154,950,240","7,568,182,897",0,"17,875,453,655",0,0,0,0,"5,283,798",0,0,0,"4,768,350,231",0,"220,051,395",0,"3,688,306","319,078",0,"165,461,402",0,0,0,0,0,0,0,0,0,0,0,"88,700,886",0,0,"88,109,882",0,0,0,0,"3,774,606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,618,756","1,023,825,696",0,"1,065,816,364",0,0,0,0,0,"8,198,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,"468,198","1,243,632,572","1,717,487,129",0,0,"124,560,767","4,671,970,999",0,"7,546,273,223",0,0,0,0,"2,422,265",0,0,0,"3,772,391,817",0,"93,136,061",0,"1,080,111","114,322",0,"128,217,996",0,0,0,0,0,0,0,0,0,0,0,"66,762,583",0,0,"48,067,726",0,0,0,0,"512,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,356,100","149,978,495",0,"229,279,097",0,0,0,0,0,"3,816,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,"379,856","806,848,572","847,387,899",0,0,"33,483,821","2,514,893,850",0,"4,443,335,959",0,0,0,0,"3,801,099",0,0,0,"2,426,244,377",0,"24,155,970",0,"160,000",0,0,"44,509,140",0,0,0,0,0,0,0,0,0,0,0,"38,304,338",0,0,"7,705,800",0,0,"2,812,967,160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,537,574","13,260,009",0,"13,152,369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"376,887,131",,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,"264,500","466,582,998","327,859,184",0,0,"13,294,827","1,108,949,814",0,"2,237,453,701",0,0,0,0,"3,206,000",0,0,"6,130,254,852","1,239,326,527",0,"5,786,428",0,0,0,0,"18,657,153",0,0,0,0,0,0,0,0,0,0,0,"17,221,289",0,0,"9,494,800",0,0,"849,959,224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,791,395","4,662,500",0,"2,961,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,010,570",,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,"257,200","230,958,669","164,320,890",0,0,"9,165,856","458,663,826",0,"1,131,206,267",0,0,0,0,"1,130,100",0,0,"4,568,126,116","703,300,218",0,"4,020,200",0,0,0,0,"11,265,603",0,0,0,0,0,0,0,0,0,0,0,"4,669,327",0,0,"12,769,450",0,0,"258,827,402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,466,210,837",0,0,0,0,0,0,0,0,"1,942,900","4,741,000",0,"87,539",0,0,0,0,0,0,0,0,"1,272,794,500",0,0,0,0,0,0,"517,162,582",0,0,0,0,0,"5,640,000",,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,"184,539","100,122,704","45,892,439",0,0,"1,898,484","206,176,613",0,"554,538,362",0,0,0,0,"10,015,000",0,0,"2,227,647,007","323,032,697",0,0,0,0,0,0,"3,931,606",0,0,0,0,0,0,0,0,0,0,0,"1,806,000",0,0,"2,204,500",0,0,"46,775,851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"476,835,109",0,0,0,0,"1,122,237,551",0,0,0,"21,000","2,973,000",0,0,"931,892,298",0,0,0,0,0,0,0,"370,545,500",0,0,0,0,0,0,"109,658,387",0,0,0,0,0,"6,728,000",,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,"146,400","145,813,527","5,362,755",0,0,"233,800","27,340,660",0,"372,151,598",0,0,0,"14,466,870,203","4,495,000",0,0,"749,946,139","87,432,278",0,0,"6,839,013,060",0,0,0,"5,035,177",0,0,0,0,0,0,0,0,0,0,0,"1,866,900",0,0,0,0,0,"1,978,057",0,0,0,0,0,0,"2,701,916,569",0,0,0,"2,433,500,146",0,0,0,0,0,0,0,0,0,0,"53,873,150",0,0,0,0,"444,903,586",0,0,"963,486,435",0,"1,041,000",0,0,"158,917,604",0,0,0,0,0,0,0,"140,730,500",0,0,0,0,0,0,"3,490,600",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,"8,517,850","919,228",0,0,0,"1,075,628",0,"94,692,410",0,"7,457,073,494",0,"2,506,072,656","1,685,000",0,0,"106,919,816","4,328,356",0,0,"1,155,570,453",0,0,0,"2,156,874",0,0,0,0,0,0,0,0,0,0,0,"301,500",0,0,0,0,0,"138,000",0,0,0,0,0,0,"661,845,040",0,0,0,"337,094,356",0,0,0,"2,261,937,598",0,0,0,0,0,0,"2,382,023",0,0,0,"688,025,779","12,167,523",0,0,"182,588,831",0,0,0,0,"79,015,726",0,0,0,0,0,0,0,"78,955,500",0,0,0,0,0,0,"1,946,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,"6,914,500","3,410,000",0,0,0,"4,208,128",0,"37,498,871",0,"4,666,596,854",0,"949,628,963",0,0,0,"22,318,106","8,093,000",0,0,"560,872,325",0,0,0,"1,577,295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"297,587,446",0,0,0,"84,284,803",0,0,"916,991,656","338,533,499",0,0,0,0,0,0,"266,228",0,0,0,"342,340,879","7,484,500",0,0,"54,993,661",0,0,0,0,"13,513,411",0,0,0,0,0,"584,919,300",0,"187,362,000",0,0,0,0,0,0,"6,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,"4,080,800","4,754,000",0,0,0,"880,000",0,"19,243,379",0,"3,709,732,521",0,"409,217,584",0,0,0,"7,629,257","3,212,400",0,0,"288,096,895",0,0,0,"1,310,212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,144,784",0,0,0,"17,500,430",0,0,"1,151,623,459","86,246,897",0,0,0,0,0,0,0,0,0,0,"196,112,791","1,135,000","889,478,980",0,"13,757,033",0,0,0,0,"3,798,350",0,0,0,0,0,"207,883,200",0,0,0,0,0,0,"701,262,070",0,0,0,"516,753,114","678,758,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,"1,945,500",0,0,0,0,"462,000",0,"4,524,729",0,"2,280,314,347",0,"55,657,779",0,0,0,"489,995","3,482,000",0,0,"135,107,847",0,0,0,"991,752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,736,634",0,0,0,"3,703,756",0,"1,828,356,829","342,029,400","13,683,539",0,0,0,0,0,0,0,0,0,0,"80,438,425",0,"395,954,192",0,"3,430,267",0,0,0,0,"364,850",0,0,0,0,0,"73,617,000",0,0,0,0,0,0,"120,506,098",0,0,0,"47,959,475","251,417,500",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,"5,706,500",0,0,0,0,"92,000",0,"2,325,440",0,"1,434,332,103",0,"9,619,746",0,0,0,"226,078","2,875,000",0,0,"87,103,768",0,0,0,"848,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,600,735,412",0,0,0,0,0,0,0,"141,500",0,0,0,"723,000",0,"479,377,785","49,008,479","5,730,700",0,0,0,0,0,0,0,0,0,0,"84,893,268",0,"182,727,295",0,"3,885,367",0,0,0,0,0,0,0,0,0,0,"4,878,400",0,0,0,0,0,0,"5,367,467",0,0,0,"2,795,500","190,444,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,"1,405,500",0,0,0,0,0,0,"3,016,173",0,"792,770,776",0,"3,017,900",0,0,0,"833,000",0,0,0,"70,920,550",0,0,0,"760,376",0,0,0,0,0,0,"4,978,876,646",0,0,0,0,0,0,0,0,0,"1,134,700,622",0,0,0,0,0,0,0,0,0,0,0,"195,228",0,"79,882,088","25,504,749",0,0,0,0,0,0,0,0,0,0,0,"56,993,190",0,"70,861,286",0,"12,919,100",0,0,0,0,0,0,0,0,"681,725,402",0,"2,152,000",0,0,0,0,0,0,"204,000",0,0,0,"4,474,000","82,359,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,0,0,0,0,0,0,"1,873,706",0,"544,072,943",0,"1,783,678",0,0,0,"91,667",0,0,0,"39,371,100",0,0,0,"602,000",0,0,0,0,"3,629,945,853",0,"1,500,425,235",0,0,0,0,0,0,0,0,0,"484,018,153",0,0,0,0,0,0,0,0,0,0,0,"351,000",0,"18,997,186","4,444,174",0,0,0,0,0,0,0,0,0,0,"1,413,035,086","28,458,109",0,"17,561,122",0,"7,740,300",0,0,0,0,0,0,0,0,"234,957,974",0,"3,222,000",0,0,0,0,0,0,0,0,0,0,"1,565,500","25,621,500",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"22,609,149,820",0,0,0,0,0,0,0,0,"726,228",0,"146,235,113",0,"2,214,039",0,0,0,"43,000",0,0,0,"22,254,800",0,0,0,"57,756,500",0,0,0,0,"1,978,631,668",0,"294,200,749",0,0,0,0,0,0,0,0,0,"72,520,282",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,896,856","3,041,534",0,0,0,0,0,0,0,0,0,0,"298,791,889","8,077,864",0,"8,105,534",0,"346,000",0,0,0,0,0,0,0,0,"18,301,747",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,022,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"25,666,523,534",0,0,0,0,0,0,0,0,"1,310,850",0,"23,086,162",0,"2,578,500",0,0,0,0,0,0,0,"18,446,000",0,0,0,"132,073,550",0,0,0,0,"801,399,168",0,"38,628,285",0,0,0,0,0,0,0,0,0,"9,361,578",0,0,0,"2,243,115,526",0,0,0,0,0,0,0,0,0,"4,718,728","333,039",0,0,0,0,0,0,0,0,0,0,"64,396,163","3,918,956",0,"2,178,500",0,0,0,0,0,0,0,0,0,0,"763,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"22,485,630,662",0,0,0,0,0,0,0,0,0,0,"4,241,078",0,0,0,0,0,0,0,0,0,"11,737,000",0,0,0,"16,762,850",0,0,0,0,"348,685,705",0,"12,523,200",0,0,0,0,0,0,0,0,"2,495,058,223","1,949,500",0,0,0,"839,110,308",0,0,0,0,0,0,0,0,0,0,"18,000",0,0,0,0,0,"1,567,740,970",0,0,0,0,"16,168,819","1,562,200",0,"491,000",0,0,0,0,0,0,0,0,0,0,"2,470,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"18,234,215,995",0,0,0,0,0,0,0,0,0,0,"1,062,000",0,0,0,0,0,0,0,0,0,"6,766,000",0,0,0,"2,484,800",0,0,0,0,"185,924,264",0,"4,462,350",0,0,0,0,0,0,0,0,"1,859,541,488","444,039",0,0,0,"359,208,294",0,0,0,0,0,"1,171,350,118",0,0,0,0,0,0,0,0,0,0,"535,285,248",0,0,0,0,"8,275,269",0,0,0,0,0,0,0,0,0,0,0,0,0,"756,000",0,0,0,0,"528,643,056",0,0,0,0,0,0,"575,898,738",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"16,563,255,698",0,0,0,0,0,0,0,"23,316,192,491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,354,610,338","11,242,201",0,"532,000",0,0,0,0,0,"3,948,262,531",0,0,"306,223,674",0,0,0,0,"88,198,273",0,0,0,0,"2,178,717,638","1,020,836,919",0,0,0,0,0,0,0,0,0,0,"34,165,082",0,0,0,0,"2,764,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"135,117,331",0,0,0,0,0,0,"22,006,864",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"12,961,385,460",0,0,0,0,0,0,0,"13,965,112,483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,733,921,131","2,187,502",0,0,0,0,0,0,0,"2,466,992,949",0,0,"188,314,424",0,0,0,0,"21,206,234",0,0,0,0,"1,216,074,422","554,203,523",0,0,0,0,0,0,0,0,0,0,"29,215,956",0,0,0,0,"2,156,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"199,654,544",0,0,0,0,0,0,"19,877,819",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
