순위,영화명,개봉일,매출액,가중치,매출액 점유율,관객수,스크린수,상영횟수,대표국적,제작국적,배급사,"장르","등급","러닝타임","수상횟수","관람평점","남자 평점","여자 평점"
31,러브픽션,2012-02-29,"13,200,412,500","88,970,780,250.00",0.90%,"1,726,202",617,"44,130",한국,한국,(주)넥스트엔터테인먼트월드(NEW),로맨스,15,121,2,6.74,6.54,6.87
32,언터처블: 1%의 우정,2012-03-22,"12,735,040,000","118,945,273,600.00",0.90%,"1,720,472",454,"48,976",프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW),코미디,12,112,6,9.34,9.21,9.53
33,아이스 에이지 4: 대륙 이동설,2012-07-25,"12,291,969,704","101,285,830,360.96",0.90%,"1,648,110",501,"26,899",미국,미국,이십세기폭스코리아(주),애니메이션,0,92,0,8.24,8.05,8.69
34,공모자들,2012-08-29,"12,240,964,500","86,053,980,435.00",0.90%,"1,646,142",496,"44,959",한국,한국,"씨너스엔터테인먼트(주),타임스토리그룹(주)",범죄,19,111,1,7.03,6.84,7.36
35,마다가스카3 : 이번엔 서커스다!,2012-06-06,"12,521,043,500","112,939,812,370.00",0.90%,"1,629,799",564,"34,150",미국,미국,(주)씨제이이엔엠,애니메이션,0,94,0,9.02,8.99,9.09
36,하울링,2012-02-16,"11,765,293,500","79,533,384,060.00",0.80%,"1,612,554",550,"44,753",한국,한국,(주)씨제이이엔엠,범죄,15,114,0,6.76,6.11,7.6
37,용의자X,2012-10-18,"11,241,013,000","86,330,979,840.00",0.80%,"1,552,055",553,"42,989",한국,한국,(주)씨제이이엔엠,공포,15,119,0,7.68,7.32,8.16
38,새미의 어드벤쳐 2,2012-08-01,"10,856,204,000","93,797,602,560.00",0.80%,"1,457,380",486,"26,436",벨기에,벨기에,(주)씨제이이엔엠,애니메이션,0,92,0,8.64,8.41,8.84
39,차형사,2012-05-30,"9,752,555,296","72,851,588,061.12",0.70%,"1,346,754",433,"39,152",한국,한국,(주)씨제이이엔엠,코미디,15,110,0,7.47,6.47,8.17
40,은교,2012-04-25,"9,918,274,444","69,923,834,830.20",0.70%,"1,346,359",521,"41,683",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스,19,129,8,7.05,6.9,7.19
41,간첩,2012-09-20,"9,316,548,500","66,613,321,775.00",0.70%,"1,310,895",576,"41,726",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15,115,0,7.15,7.36,6.8
42,간기남,2012-04-11,"9,356,404,500","64,746,319,140.00",0.70%,"1,246,185",396,"38,155",한국,한국,(주)쇼박스,공포,19,117,0,6.92,6.68,7.3
43,메리다와 마법의 숲,2012-09-27,"9,024,766,000","68,317,478,620.00",0.60%,"1,231,024",479,"22,087",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,애니메이션,0,102,3,7.57,7.2,7.91
44,토탈 리콜,2012-08-15,"8,958,236,000","65,395,122,800.00",0.60%,"1,219,637",448,"27,089",미국,"미국,캐나다",한국소니픽쳐스릴리징브에나비스타영화㈜,액션,15,118,0,7.3,7.26,7.55
45,R2B: 리턴투베이스,2012-08-15,"8,602,921,371","63,919,705,786.53",0.60%,"1,201,944",539,"32,881",한국,한국,(주)씨제이이엔엠,액션,15,113,0,7.43,6.87,8.4
46,돈의 맛,2012-05-17,"8,780,178,611","59,880,818,127.02",0.60%,"1,166,018",643,"36,922",한국,"한국,필리핀","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",드라마,19,115,1,6.82,6.88,6.76
47,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,"9,784,305,000","69,566,408,550.00",0.70%,"1,149,628",398,"27,236",미국,미국,워너브러더스 코리아(주),액션,0,94,0,7.11,6.57,7.89
